,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side
2020-05-11 07:00:00,0.6513800000000001,0.6519312515532637,0.6496433177566253,1.0,0.6471589999999994,0.6564702966874522,0.6378477033125466,0.004655648343726405,-1.0,73.49593495935002,87.85119061565278,-1.0,58.912265835662005,0.6502924999999999,0.6475375000000001,0.6483099999999999,0.6420349999999999,0.6418950000000001,1.0,0.6502924999999999,0.6475375000000001,0.6483099999999999,0.6420349999999999,0.6418950000000001,1.0,55.110716488268835,0.0
2020-05-11 11:00:00,0.647295,0.6507721886649477,0.6493497780370472,1.0,0.6472557499999994,0.6565304048589021,0.6379810951410966,0.0046373274294513765,-1.0,46.926829268292416,73.47425474254791,-1.0,0.5499743603898334,0.651375,0.6475375000000001,0.64736625,0.6420349999999999,0.63963,0.0,0.651375,0.6475375000000001,0.64736625,0.6420349999999999,0.63963,0.0,43.209689187991984,0.0
2020-05-11 15:00:00,0.6489,0.6503041414987107,0.6492935557824163,1.0,0.6474804999999992,0.6566855273764802,0.6382754726235182,0.004602513688240522,-1.0,57.3658536585368,59.262872628726846,-1.0,20.040606082735664,0.651375,0.6477425,0.6467975,0.6420349999999999,0.6396200000000001,1.0,0.651375,0.6477425,0.6467975,0.6420349999999999,0.6396200000000001,1.0,48.27365822752044,0.0
2020-05-11 23:00:00,0.643895,0.648701856124033,0.6486187363096143,1.0,0.6474424999999993,0.6566999956117598,0.6381850043882387,0.004628747805880279,-1.0,24.81300813008134,43.03523035230395,-1.0,-49.80000983459197,0.649675,0.6477675,0.64648125,0.6420349999999999,0.64003,0.0,0.649675,0.6477675,0.64648125,0.6420349999999999,0.64003,0.0,36.547588456399545,0.0
2020-05-12 03:00:00,0.646595,0.6481751420930247,0.6483657692709125,-1.0,0.6476102499999993,0.6566766778937049,0.6385438221062937,0.004533213946852822,-1.0,42.37398373983764,41.517615176152354,-1.0,-14.552490535520747,0.649675,0.6477675,0.64533125,0.6420349999999999,0.641285,1.0,0.649675,0.6477675,0.64533125,0.6420349999999999,0.641285,1.0,44.88147258408116,0.0
2020-05-12 07:00:00,0.64866,0.6482963565697685,0.6484025481120484,-1.0,0.6478647499999992,0.6567471317049115,0.6389823682950869,0.004441190852456136,-1.0,55.804878048780594,40.99728997290029,-1.0,11.63522496589024,0.649675,0.6477675,0.645,0.6420349999999999,0.64239,1.0,0.649675,0.6477675,0.645,0.6420349999999999,0.64239,1.0,50.606449847138244,0.0
2020-05-12 11:00:00,0.651655,0.6491360174273263,0.6488091045980424,1.0,0.6483214999999992,0.6569945704483325,0.6396484295516659,0.004336535224166681,-1.0,75.28455284552832,57.821138211382625,-1.0,49.94915259746594,0.649675,0.6477675,0.64492,0.6420349999999999,0.644385,1.0,0.649675,0.6477675,0.64492,0.6420349999999999,0.644385,1.0,57.92069332377853,0.0
2020-05-12 15:00:00,0.65039,0.6494495130704947,0.6490067165232871,1.0,0.6486939999999992,0.6570444943567273,0.6403435056432711,0.004175247178364062,-1.0,67.05691056910584,66.04878048780536,-1.0,26.39454624301765,0.649675,0.6477675,0.64504125,0.6420349999999999,0.64536,1.0,0.649675,0.6477675,0.64504125,0.6420349999999999,0.64536,1.0,54.022063962284996,0.0
2020-05-12 19:00:00,0.6472450000000001,0.648898384802871,0.6487865019578762,1.0,0.6490522499999993,0.6564547566532718,0.6416497433467269,0.003701253326636232,-1.0,41.46167557932334,61.26771299798628,-1.0,-31.727800513558364,0.647775,0.6477675,0.64504125,0.642095,0.644405,1.0,0.647775,0.6477675,0.64504125,0.642095,0.644405,1.0,45.27917886429848,0.0
2020-05-12 23:00:00,0.647385,0.6485200386021532,0.6486113142131418,-1.0,0.6493499999999993,0.6559362500713023,0.6427637499286963,0.003293125035651498,-1.0,30.190311418685024,46.236299189038505,-1.0,-38.77259579719953,0.647775,0.6477675,0.64504125,0.642095,0.644655,1.0,0.647775,0.6477675,0.64504125,0.642095,0.644655,1.0,45.73030323122191,0.0
2020-05-13 01:00:00,0.647365,0.6482312789516148,0.648455524936499,-1.0,0.6495224999999993,0.6556982481329575,0.6433467518670412,0.003087874066479086,-1.0,30.017301038062012,33.889762678690566,-1.0,-45.40061834602154,0.647775,0.6477675,0.64504125,0.642315,0.64324,1.0,0.647775,0.6477675,0.64504125,0.642315,0.64324,1.0,45.668243790504995,0.0
2020-05-13 05:00:00,0.647465,0.648039709213711,0.6483317093194366,-1.0,0.6495739999999993,0.6556624633530742,0.6434855366469244,0.0030442316765374343,-1.0,30.882352941176105,30.36332179930815,-1.0,-45.01626126032704,0.647775,0.6477675,0.64514375,0.6431024999999999,0.64357,1.0,0.647775,0.6477675,0.64514375,0.6431024999999999,0.64357,1.0,46.09031765440787,0.0
2020-05-13 09:00:00,0.64959,0.6484272819102832,0.6484889956545071,-1.0,0.6497969999999993,0.6555346557932421,0.6440593442067565,0.002868827896621393,-1.0,49.26470588235293,36.721453287197455,-1.0,-4.688526701664814,0.649125,0.6477675,0.6454575,0.6431024999999999,0.64252,1.0,0.649125,0.6477675,0.6454575,0.6431024999999999,0.64252,1.0,54.71588120035371,0.0
